symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-07-22 00:00:00+00:00,2666.57,2670.09,2648.0,2653.0,680407,2666.57,2670.09,2648.0,2653.0,680407,0.0,1.0
GOOG,2021-07-23 00:00:00+00:00,2756.32,2776.17,2694.01,2705.2,1318887,2756.32,2776.17,2694.01,2705.2,1318887,0.0,1.0
GOOG,2021-07-26 00:00:00+00:00,2792.89,2794.26,2753.0201,2765.0,1152623,2792.89,2794.26,2753.0201,2765.0,1152623,0.0,1.0
GOOG,2021-07-27 00:00:00+00:00,2735.93,2800.22,2702.0,2800.22,2108153,2735.93,2800.22,2702.0,2800.22,2108153,0.0,1.0
GOOG,2021-07-28 00:00:00+00:00,2727.63,2793.52,2727.0,2771.24,2734417,2727.63,2793.52,2727.0,2771.24,2734417,0.0,1.0
GOOG,2021-07-29 00:00:00+00:00,2730.81,2743.03,2722.76,2727.612,948565,2730.81,2743.03,2722.76,2727.612,948565,0.0,1.0
GOOG,2021-07-30 00:00:00+00:00,2704.42,2715.4273,2696.284,2710.22,1197725,2704.42,2715.4273,2696.284,2710.22,1197725,0.0,1.0
GOOG,2021-08-02 00:00:00+00:00,2719.79,2720.41,2693.39,2709.69,1007002,2719.79,2720.41,2693.39,2709.69,1007002,0.0,1.0
GOOG,2021-08-03 00:00:00+00:00,2725.6,2726.71,2683.67,2720.0,953200,2725.6,2726.71,2683.67,2720.0,953200,0.0,1.0
GOOG,2021-08-04 00:00:00+00:00,2720.57,2730.76,2708.3,2724.99,826357,2720.57,2730.76,2708.3,2724.99,826357,0.0,1.0
GOOG,2021-08-05 00:00:00+00:00,2738.8,2739.0,2712.0,2720.57,593589,2738.8,2739.0,2712.0,2720.57,593589,0.0,1.0
GOOG,2021-08-06 00:00:00+00:00,2740.72,2741.6009,2720.93,2725.9,678251,2740.72,2741.6009,2720.93,2725.9,678251,0.0,1.0
GOOG,2021-08-09 00:00:00+00:00,2760.04,2766.43,2728.575,2738.98,618978,2760.04,2766.43,2728.575,2738.98,618978,0.0,1.0
GOOG,2021-08-10 00:00:00+00:00,2761.93,2771.03,2744.53,2761.59,801954,2761.93,2771.03,2744.53,2761.59,801954,0.0,1.0
GOOG,2021-08-11 00:00:00+00:00,2753.79,2776.955,2747.0,2765.66,760483,2753.79,2776.955,2747.0,2765.66,760483,0.0,1.0
GOOG,2021-08-12 00:00:00+00:00,2767.79,2768.36,2735.58,2754.26,732470,2767.79,2768.36,2735.58,2754.26,732470,0.0,1.0
GOOG,2021-08-13 00:00:00+00:00,2768.12,2773.48,2760.1,2767.15,626348,2768.12,2773.48,2760.1,2767.15,626348,0.0,1.0
GOOG,2021-08-16 00:00:00+00:00,2778.32,2779.81,2723.315,2760.0,902542,2778.32,2779.81,2723.315,2760.0,902542,0.0,1.0
GOOG,2021-08-17 00:00:00+00:00,2746.01,2774.37,2735.75,2763.82,1063701,2746.01,2774.37,2735.75,2763.82,1063701,0.0,1.0
GOOG,2021-08-18 00:00:00+00:00,2731.4,2765.88,2728.42,2742.31,746723,2731.4,2765.88,2728.42,2742.31,746723,0.0,1.0
GOOG,2021-08-19 00:00:00+00:00,2738.27,2749.04,2707.12,2709.35,914796,2738.27,2749.04,2707.12,2709.35,914796,0.0,1.0
GOOG,2021-08-20 00:00:00+00:00,2768.74,2772.29,2729.34,2741.66,778337,2768.74,2772.29,2729.34,2741.66,778337,0.0,1.0
GOOG,2021-08-23 00:00:00+00:00,2821.99,2843.5399,2774.9586,2779.97,1054484,2821.99,2843.5399,2774.9586,2779.97,1054484,0.0,1.0
GOOG,2021-08-24 00:00:00+00:00,2847.97,2860.15,2827.07,2830.87,756313,2847.97,2860.15,2827.07,2830.87,756313,0.0,1.0
GOOG,2021-08-25 00:00:00+00:00,2859.0,2866.26,2848.79,2857.66,642153,2859.0,2866.26,2848.79,2857.66,642153,0.0,1.0
GOOG,2021-08-26 00:00:00+00:00,2842.46,2862.696,2841.83,2852.37,746100,2842.46,2862.696,2841.83,2852.37,746100,0.0,1.0
GOOG,2021-08-27 00:00:00+00:00,2891.01,2900.22,2840.4,2842.25,1228412,2891.01,2900.22,2840.4,2842.25,1228412,0.0,1.0
GOOG,2021-08-30 00:00:00+00:00,2909.39,2929.7899,2892.0,2894.09,845795,2909.39,2929.7899,2892.0,2894.09,845795,0.0,1.0
GOOG,2021-08-31 00:00:00+00:00,2909.24,2922.24,2900.0,2917.69,1337821,2909.24,2922.24,2900.0,2917.69,1337821,0.0,1.0
GOOG,2021-09-01 00:00:00+00:00,2916.84,2936.4099,2912.29,2913.0,791234,2916.84,2936.4099,2912.29,2913.0,791234,0.0,1.0
